track_uri,track_name,preview_url,track_id,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,genre,danceability,energy,key,loudness,mode,speechiness,acousticnesss,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
spotify:track:6FqBQIRLJMluO10YtDbETv,Riptide,https://p.scdn.co/mp3-preview/7c0e76ab22f79580f3116671c2b6817a3924be85?cid=400e13a0a7b044409077270c38d6b730,6FqBQIRLJMluO10YtDbETv,64,spotify:artist:6vwjIs0tbIiseJMR3pqwiL,Beartooth,59,"['metalcore', 'modern rock']",Riptide,hard rock,0.477,0.934,6,-2.884,0,0.0803,0.0015,0.0,0.243,0.55,128.037,4,211119,Riptide  it is a riptide Riptide  it is a riptide  Finally frozen  no more emotion Started escaping  now everything is numb Dove in the deep end  stuck and I cant swim So out of breath  I know I dont have long  Yeah  this is way too much  just give me the rush Yeah  this is way too much  just give me the rush Im done explaining my pain  this is way too much I wanna feel euphoria  give me the rush Cause it is the last time that I romanticize The riptide that is trying to drown me Full of excuses for way too long Dont wanna sing another hopeless song Cause it is the last time that I romanticize The riptide  it is a riptide  Riptide  it is a riptide Riptide  it is a riptide  Im so ashamed of my vicious problems Keeping the worst of me all to myself It is overwhelming  not ever telling The ones I love that I gotta find help  Yeah  this is way too much  just give me the rush Yeah  this is way too much  Im done explaining my pain  this is way too much I wanna feel euphoria  give me the rush Cause it is the last time that I romanticize The riptide that is trying to drown me Full of excuses for way too long Dont wanna sing another hopeless song Cause it is the last time that I romanticize The riptide  it is a riptide See Beartooth LiveGet tickets as low as $54You might also like Dont wanna die  I guess I gotta let it go Dont wanna die  I guess I gotta let it go  Im done explaining my pain  this is way too much I wanna feel euphoria  give me the rush Cause it is the last time that I romanticize The riptide  yeah  Im done explaining my pain  this is way too much I wanna feel euphoria  give me the rush Cause it is the last time that I romanticize The riptide that is trying to drown me Full of excuses for way too long Dont wanna sing another hopeless song Cause it is the last time that I romanticize The riptide  it is a riptide  Riptide  it is a riptide Riptide  it is a riptide
spotify:track:4K4budASa3lo3sBlfUT7Ex,This is War,https://p.scdn.co/mp3-preview/c640a25bdd1d6ca8b463375d0645e6b735352880?cid=400e13a0a7b044409077270c38d6b730,4K4budASa3lo3sBlfUT7Ex,52,spotify:artist:4DWX7u8BV0vZIQSpJQQDWU,Alter Bridge,62,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",This Is War,hard rock,0.376,0.932,3,-5.342,1,0.0984,4.99e-06,2.13e-05,0.318,0.319,163.956,4,243622,A brood of vipers  they are scheming as the west winds blow They are conspiring from below A raging fire from the depths of hell  a wicked foe Unleash the tiger  take control  It is time to decide Do not play the fool  so  Fight for your life  cant you see what is coming? Fight for your mind  this is war Fight from inside and believe in something Dont compromise who you are An army of shadows  they are waiting for the battle call Bloodthirsty demons of the mind They will unravel  if you let them  evеrything you are And storm the castle from insidе  So open your eyes  so  Fight for your life  cant you see what is coming? Fight for your mind  this is war Fight from inside and believe in something Dont compromise who you are  Scheming  haunting  waiting  taunting Taking every good man down   A raging fire from the depths of hell  a wicked foe Unleash the tiger  take control Yeah You might also like Fight for your life  cant you see what is coming? Fight for your mind  this is war Fight from inside and believe in something Dont compromise who you ar
spotify:track:3238Ck8nZUFvTqh4fKv8cY,Mine,https://p.scdn.co/mp3-preview/af646024801ad1ac14e507b061c1737d8a57c6db?cid=400e13a0a7b044409077270c38d6b730,3238Ck8nZUFvTqh4fKv8cY,53,spotify:artist:6om12Ev5ppgoMy3OYSoech,Halestorm,62,"['alternative metal', 'nu metal', 'post-grunge']",Mine,hard rock,0.486,0.891,11,-3.804,0,0.0469,0.00601,0.0,0.702,0.226,138.014,4,259551,I will wear you down I will break your crown Because it is mine (Because it is mine) Mine  all mine I will scream your name (I will scream your name) Ill make your body shake Because it is mine (Because it is mine) Mine  all mine (Mine  all mine)  And I will take your fears (I will take your fears) And make them disappear (Make them disappear) But let me make it clear that I I will break your heart I will make you cry Ill take you apart Because youre mine Like a brand-new toy Ill destroy in time Leave you in pieces  boy Because youre mine Mine  all mine  I will be your star (I will be your star) I will make it hard Because it is mine (Because it is mine) Mine  all mine (Mine  all mine) I will kiss and scratch and bite Ill turn up the night Because it is mine Mine  all mine (Mine  all mine)  And I will let you in (I will let you in) But I cant let you win (Cant let you win) And I wont let you forget that I See Halestorm LiveGet tickets as low as $95You might also like I will break your heart I will make you cry Ill take you apart Because youre mine Like a brand-new toy Ill destroy in time Leave you in pieces  boy Because youre mine Mine  all mine  I will love you so I will make you whole Because youre mine Mine  all mine I will make you stay Just to throw you away Because youre mine Because youre mine (Break your heart Make you cry Take you apart Because youre mine)  I will break your heart I will make you cry Ill take you apart Because youre mine Like a brand-new toy Ill destroy in time Leave you in pieces  boy Because youre mine Mine  all min
spotify:track:4GPYVJUBEXr0WfhozDhvfr,Vivien,https://p.scdn.co/mp3-preview/90571118816b7eb613ab7b42456cbcf4dc057a9d?cid=400e13a0a7b044409077270c38d6b730,4GPYVJUBEXr0WfhozDhvfr,54,spotify:artist:3gPZCcrc8KG2RuVl3rtbQ2,✝✝✝ (Crosses),48,"['alternative metal', 'electronic rock']",Vivien,hard rock,0.411,0.749,10,-5.159,0,0.0898,0.00125,0.00727,0.0859,0.164,179.993,4,233351, 
spotify:track:0D0fJnHN5Tj7QTa3rEbLTT,Frenzy,https://p.scdn.co/mp3-preview/2096a29865bc0eb618d2524756673969da725093?cid=400e13a0a7b044409077270c38d6b730,0D0fJnHN5Tj7QTa3rEbLTT,55,spotify:artist:33EUXrFKGjpUSGacqEHhU4,Iggy Pop,62,"['classic rock', 'glam rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'punk', 'rock']",Frenzy,hard rock,0.391,0.985,8,-2.806,1,0.158,9.2e-06,0.0,0.115,0.199,75.013,4,180586,Got addicted to wars  that is more than you all My mind wont be sick if I suffer the prick So shut up and love me  cause fun is my buddy All the sharks in the sea are waiting on me  Im in a frenzy  you fucking prick Im in a frenzy  you goddamn dick Im in a frenzy  you stoned douchebag And I hate that the feel is oh  so real Im in a frenzy (Frenzy) Im in a frenzy (Frenzy) Im in a frenzy (Frenzy) Im in a frenzy (Ohh)   Im sick of the squeaks  Im sick of the tears Im sick of the freeze  Im sick of disease So get me a try before I fucking die My mind is on fire  I will not retire  Im in a frenzy  fucking prick Im in a frenzy  goddamn dick Im in a frenzy  you stoned douchebag And this hate that the feel is oh  so real  Im in a frenzy (Frenzy) Im in a frenzy (Frenzy) Im in a frenzy (Frenzy) Im in a frenzy You might also like Do you get it? No-no-no-no Im in a frenzy (Frenzy) Im in a frenzy (Frenzy) Im the predator (Frenzy) Im gonna burn (Frenzy) Frenzy  frenzy  frenzy  frenzy Frenzy  frenzy  frenzy (Ohh) Frenzy  frenzy  frenzy  frenzy I got addicted to wars Be carefu
spotify:track:5icnQhZE9x54UqAxBK9po3,Best at Being the Worst,https://p.scdn.co/mp3-preview/c9087a66840d02f24c91880a72e0008efd2a606c?cid=400e13a0a7b044409077270c38d6b730,5icnQhZE9x54UqAxBK9po3,54,spotify:artist:4zjO8Jhi2pciJJzd8Q6rga,Unlike Pluto,62,"['modern alternative rock', 'modern rock', 'rock']",Best at Being the Worst,hard rock,0.31,0.58,2,-8.018,1,0.0685,0.00109,2.74e-05,0.109,0.26,184.238,4,240204,You are the best at being the worst You are the best at being the worst With a little bit of love and a little more hate It always hurts to say You are the best at being the worst  You seem so amazing Flashing lights Always paraphrasing It’s do or die It took time to see The bird is-eye view of your maze It took time to leave It’s hard to part when youre part of me So I say  You are the best at being the worst You are the best at being thе worst With a little bit of love and a little morе hate It always hurts to say You are the best at being the worst  Heartbeat  heartbeat Throbbing when you hurt me Retreat  retreat Run from the anomaly Toxic intentions Ooh  the reality  It took time to see The bird is-eye view of your maze It took time to leave It’s hard to part when youre part of me So I say You might also like You are the best at being the worst You are the best at being the worst With a little bit of love and a little more hate It always hurts to say You are the best at being the worst  The way you make me feel Is so twisted The way you make me feel Is so twisted Every moment of happiness Was an orchestrated play You made me feel so twisted  oh So I say  You are the best at being the worst You are the best at being the worst With a little bit of love and a little more hate It always hurts to say You are the best at being the wors
spotify:track:4Wsst7bJEVKRWI1vef1S7R,Parasite,https://p.scdn.co/mp3-preview/db6a891ffd748d98516619d7da97d40fcedfd844?cid=400e13a0a7b044409077270c38d6b730,4Wsst7bJEVKRWI1vef1S7R,46,spotify:artist:3r32a6mMdoPaSP1C7kYhMc,Frank Carter & The Rattlesnakes,51,"['modern alternative rock', 'modern rock', 'rock']",Parasite,hard rock,0.458,0.936,8,-3.017,0,0.0549,0.00612,0.0,0.146,0.368,164.921,4,182346,Beam me up  softboi With your lines about Freud and Jung Standing in the corner of the party Laughing at that meme “They don’t know I’m a bug” Have you even fucking lived yet? Standing at the back of the room never having any fun Paraphrasing nasty women And then forgotten all the context Cause you never finish them You’re itching You can really feel it in your blood Skin crawling Every single time you see his name pop up He’s wretched  Kitchen full of glasses Stolen from a two mile radius Pint glasses And a drawer full of out of date Valium The prince of East London But he lives with his parents out in Islington Ain’t got a car  he’s got a skateboard Proud owner of a DUI at age 19  You’re itching You can really feel it in your blood Skin crawling Every single time you see his name pop up He’s wretched You can really feel it in his love Heart breaking Every single time it never feels enough You might also like He’s a parasite But he thinks he’s a comedian You won’t be laughing in the morning When you’re trying to find a clinic with a free appointment Better safe than sorry  girl Too little  too late and now you’ve been burned But at least you ain’t pregnant He’s a parasite in a parasitic world  He’s a parasite He’s a parasite He’s a parasite The boy’s a parasite  You’re itching You can really feel it in your blood Skin crawling Every single time you see his name pop up He’s wretched You can really feel it in his love Heart breaking Every single time it never feels enough He’s a parasite Parasite for bad blood Parasite He’s a parasite for bad bloo
spotify:track:1dB0NylVkpjdOe8DiekIs7,HOLIDAY,https://p.scdn.co/mp3-preview/55f956023d083c2f3abc4828fbc56e3615601400?cid=400e13a0a7b044409077270c38d6b730,1dB0NylVkpjdOe8DiekIs7,62,spotify:artist:2qnpHrOzdmOo1S4ox3j17x,Turnstile,61,"['hardcore punk', 'modern melodic hardcore']",GLOW ON,hard rock,0.537,0.858,10,-7.743,1,0.0428,0.00188,0.658,0.0716,0.323,154.996,4,172021,Now it is a holiday Now it is a holiday  Make a little room I wanna free up from the vine I wanna celebrate Close enough to feel and now it is time to disappear I wanna celebrate  So I can never feel the cold I can never feel the cold I can never feel the cold I can never feel the cold Now it is a holiday Now it is a holiday  Too bright to live  too bright to die I wanna celebrate Beauty is built not from outside And I imagine it  So I can never feel the cold I can never feel the cold I can never feel the cold I can never feel the cold  And I can sail with no direction And I can sail with no direction And I can sail with no direction And I can sail with no direction And I can sail with no direction What And I can sail with no direction (Hey) And I can say with no direction (Yeah) I can say with no direction (Hey) I can say with no direction See Turnstile LiveGet tickets as low as $25You might also like Like it is a holiday
spotify:track:6rBiMyaGB1ZJQnxb01FkPG,Beguiled,https://p.scdn.co/mp3-preview/779ac195d2aab99f83ad8b93fac3de690f45f1a5?cid=400e13a0a7b044409077270c38d6b730,6rBiMyaGB1ZJQnxb01FkPG,63,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,71,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock', 'spacegrunge']",Beguiled,hard rock,0.698,0.611,2,-6.542,1,0.0281,7.73e-05,0.295,0.0937,0.449,116.997,4,238143,So swallow hard the serpents Of many tags and faces hid in masks Coiled round this lung until the last He’ll crack your boots  young pagans Cause like you  I was hatched to traipse on cold And seventeen is a long drawn way from home  And I’ve learned these lessons I was taught Taught  so taught And now Im telling you Return the faith Return the faith Theyre smashing out the veils  return the faith And there is no escape So return the faith With charging light brigades  return the faith Youve gotta move   So as bеtrayed by rainbows Here  I convеy Ive sold out your dear cause And the king has placed us in his jaws It is sure no place can hold us But in this scene  Im December And your June’s wretch And my idyls lay gasping as if death  And I’ve learned these lessons I was taught Taught  so taught And now Im telling you  Return the faith Return the faith They’re smashing out the veils  return the faith And there is no escape So return the faith With charging light brigades  return the faith Youve gotta move See The Smashing Pumpkins LiveGet tickets as low as $35You might also like  Return the faith (Return the faith) Return the faith (Return the faith) Return the faith
spotify:track:1linrfCmITmQHs4enAxTUY,Welcome To The Circus,https://p.scdn.co/mp3-preview/2534404c0e8653c10bc38cc5290b1882e4c18038?cid=400e13a0a7b044409077270c38d6b730,1linrfCmITmQHs4enAxTUY,66,spotify:artist:5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,74,"['alternative metal', 'groove metal', 'nu metal']",AfterLife,hard rock,0.489,0.987,11,-4.57,0,0.0806,7.62e-05,0.0,0.788,0.297,139.982,4,256742,Welcome to the circus  Welcome to the shit show Just another freak show Hang your hat and hate at the door It is a game of torture Souls are made to order Everything you wanted and more Youve gotta kill somebody to thrill somebody Everybody is gotta reason to bleed Youve gotta fuck somebody to know somebody That motherfucker aint me  Am I the only one That doesnt buy into the lies? Am I the only one That doesnt wear a disguise? Cause if I cant break it And I cant change it Then tell me  how will I know? (Tell me  how will I?) Am I the only one That isnt just here for the show? Welcome to the circus  Grab your favorite stones They came for broken bones That is what happens when you sign on the line There is no need for excuses Everybody loses Only way youll ever win is to die See Five Finger Death Punch LiveGet tickets as low as $24You might also like Youve gotta burn somebody to learn somebody Everybody is got a Jekyll and Hyde You gotta curse somebody to hurt somebody Everybody needs a reason to die  Am I the only one That doesnt buy into the lies? Am I the only one That doesnt wear a disguise? Cause if I cant break it And I cant change it Then tell me  how will I know? (Tell me  how will I?) Am I the only one That isnt just here for the show? Welcome to the circus  You gotta hide your face (Sell them what they bought cha) (Teach them what they taught cha) You gotta hide your veins (This is how they gut cha) (Right before they cut ya) You gotta hide your pain (Ugly how they rule you) (That is just how they screw you) You gotta hide your rage (Everyone has earned this) (Welcome to the circus) Ticky  ticky  tasket Time to burn the casket Time to burn this motherfucker down  Am I the only one That doesnt buy into the lies? Am I the only one That doesnt wear a disguise? (Doesnt wear a disguise) Cause if I cant break it And I cant change it Then tell me  how will I know? (Tell me  how will I?) Am I the only one That isnt just here for the show? (Not just here for the—)  Am I Tell me  how will I know? (Tell me  how will I?) Am I the only one That isnt just here for the show? Welcome to the circu
